Year,Age,Male_Germans,Female_Germans,Total_Germans
2007-01-01,97,1152,5704,6856
2007-01-01,98,789,4050,4839
2007-01-01,99,509,2771,3280
2007-01-01,100,659,4365,5024
2008-01-01,0,1269,949,2218
2008-01-01,1,95,86,181
2008-01-01,2,79,56,135
2008-01-01,3,47,47,94
2008-01-01,4,37,45,82
2008-01-01,5,35,31,66
2008-01-01,65,6502,3423,9925
2008-01-01,66,7907,4227,12134
2008-01-01,67,9011,4975,13986
2008-01-01,68,10282,5800,16082
2008-01-01,69,10695,6041,16736
2008-01-01,70,10564,6224,16788
2008-01-01,71,10932,6596,17528
2008-01-01,72,11494,7303,18797
2008-01-01,73,12357,8162,20519
2008-01-01,74,11319,7489,18808
2008-01-01,75,10689,7758,18447
2008-01-01,76,11723,8865,20588
2008-01-01,77,13082,10326,23408
2008-01-01,78,14004,11845,25849
2008-01-01,79,14358,12860,27218
2008-01-01,80,14172,14184,28356
2008-01-01,81,13331,15441,28772
2008-01-01,82,12831,17313,30144
2008-01-01,83,11772,18728,30500
2008-01-01,84,10715,19172,29887
2008-01-01,85,11101,21012,32113
2008-01-01,86,11241,22963,34204
2008-01-01,87,10280,23853,34133
2008-01-01,88,9161,22731,31892
2008-01-01,89,4948,12738,17686
2008-01-01,90,3753,10210,13963
2008-01-01,91,3455,10483,13938
2008-01-01,92,3401,10708,14109
2008-01-01,93,3862,13730,17592
2008-01-01,94,3332,12649,15981
2008-01-01,95,2632,10451,13083
2008-01-01,96,1869,7714,9583
2008-01-01,97,1207,5896,7103
2008-01-01,98,840,4391,5231
2008-01-01,99,514,3033,3547
2008-01-01,100,751,4962,5713
2009-01-01,0,1234,908,2142
2009-01-01,1,126,81,207
2009-01-01,2,59,41,100
2009-01-01,3,51,39,90
2009-01-01,4,55,33,88
2009-01-01,5,34,30,64
2009-01-01,65,6625,3646,10271
2009-01-01,66,6751,3765,10516
2009-01-01,67,8261,4635,12896
2009-01-01,68,9822,5322,15144
2009-01-01,69,11055,6257,17312
2009-01-01,70,11306,6442,17748
2009-01-01,71,11163,6617,17780
2009-01-01,72,11643,7292,18935
2009-01-01,73,12052,7873,19925
2009-01-01,74,12917,8541,21458
2009-01-01,75,11543,8258,19801
2009-01-01,76,11066,8376,19442
2009-01-01,77,12343,9671,22014
2009-01-01,78,13576,11431,25007
2009-01-01,79,14121,12868,26989
2009-01-01,80,14847,14223,29070
2009-01-01,81,14461,15204,29665
2009-01-01,82,13628,16720,30348
2009-01-01,83,12758,18475,31233
2009-01-01,84,11933,20127,32060
2009-01-01,85,10883,20541,31424
2009-01-01,86,10578,21554,32132
2009-01-01,87,10925,23873,34798
2009-01-01,88,9847,23581,33428
2009-01-01,89,8521,21854,30375
2009-01-01,90,4333,12061,16394
2009-01-01,91,3392,9535,12927
2009-01-01,92,3047,9478,12525
2009-01-01,93,2814,9558,12372
2009-01-01,94,3114,11730,14844
2009-01-01,95,2696,10315,13011
2009-01-01,96,1965,8364,10329
2009-01-01,97,1320,6215,7535
2009-01-01,98,848,4313,5161
2009-01-01,99,590,3095,3685
2009-01-01,100,811,5237,6048
2010-01-01,0,1164,927,2091
2010-01-01,1,93,89,182
2010-01-01,2,63,49,112
2010-01-01,3,44,29,73
2010-01-01,4,42,37,79
2010-01-01,5,37,30,67
2010-01-01,65,5539,3080,8619
2010-01-01,66,7159,3873,11032
2010-01-01,67,7385,3965,11350
2010-01-01,68,8672,4896,13568
2010-01-01,69,10249,5707,15956
2010-01-01,70,11648,6748,18396
2010-01-01,71,11862,7016,18878
2010-01-01,72,11595,7183,18778
2010-01-01,73,12223,7871,20094
2010-01-01,74,12906,8549,21455
2010-01-01,75,13308,9684,22992
2010-01-01,76,12036,9127,21163
2010-01-01,77,11525,9267,20792
2010-01-01,78,12770,10593,23363
2010-01-01,79,14034,12332,26366
2010-01-01,80,14559,13756,28315
2010-01-01,81,15112,15230,30342
2010-01-01,82,14372,16237,30609
2010-01-01,83,13344,17800,31144
2010-01-01,84,12873,19380,32253
2010-01-01,85,11542,20555,32097
2010-01-01,86,10370,21059,31429
2010-01-01,87,10207,21837,32044
2010-01-01,88,10051,23225,33276
2010-01-01,89,8997,22951,31948
2010-01-01,90,7606,20942,28548
2010-01-01,91,3945,11224,15169
2010-01-01,92,2825,8722,11547
2010-01-01,93,2439,8489,10928
2010-01-01,94,2263,8271,10534
2010-01-01,95,2421,9627,12048
2010-01-01,96,1881,8420,10301
2010-01-01,97,1450,6334,7784
2010-01-01,98,938,4628,5566
2010-01-01,99,543,3155,3698
2010-01-01,100,823,5593,6416
2011-01-01,0,1228,973,2201
2011-01-01,1,97,73,170
2011-01-01,2,61,45,106
2011-01-01,3,43,34,77
2011-01-01,4,36,40,76
2011-01-01,5,38,37,75
2011-01-01,65,4602,2542,7144
2011-01-01,66,5848,3360,9208
2011-01-01,67,7300,4095,11395
2011-01-01,68,7634,4305,11939
2011-01-01,69,9121,5197,14318
2011-01-01,70,10568,6136,16704
2011-01-01,71,11977,7099,19076
2011-01-01,72,12159,7620,19779
2011-01-01,73,11933,7818,19751
2011-01-01,74,12510,8582,21092
2011-01-01,75,13252,9337,22589
2011-01-01,76,13774,10338,24112
2011-01-01,77,12504,9640,22144
2011-01-01,78,11915,9854,21769
2011-01-01,79,12977,10947,23924
2011-01-01,80,13728,13059,26787
2011-01-01,81,14639,14536,29175
2011-01-01,82,14907,16337,31244
2011-01-01,83,14284,16835,31119
2011-01-01,84,13150,18111,31261
2011-01-01,85,12322,19970,32292
2011-01-01,86,11286,20748,32034
2011-01-01,87,9764,20720,30484
2011-01-01,88,9339,21319,30658
2011-01-01,89,9194,22327,31521
2011-01-01,90,7991,21509,29500
2011-01-01,91,6818,19273,26091
2011-01-01,92,3248,10172,13420
2011-01-01,93,2276,7440,9716
2011-01-01,94,1934,6936,8870
2011-01-01,95,1711,6652,8363
2011-01-01,96,1824,7823,9647
2011-01-01,97,1419,6419,7838
2011-01-01,98,923,4785,5708
2011-01-01,99,600,3374,3974
2011-01-01,100,834,5713,6547
2012-01-01,0,1113,926,2039
2012-01-01,1,92,62,154
2012-01-01,2,50,43,93
2012-01-01,3,36,38,74
2012-01-01,4,45,30,75
2012-01-01,5,41,33,74
2012-01-01,65,5791,3221,9012
2012-01-01,66,4759,2747,7506
2012-01-01,67,6003,3637,9640
2012-01-01,68,7808,4368,12176
2012-01-01,69,8000,4569,12569
2012-01-01,70,9470,5809,15279
2012-01-01,71,11081,6707,17788
2012-01-01,72,12745,7904,20649
2012-01-01,73,12843,8083,20926
2012-01-01,74,12660,8488,21148
2012-01-01,75,13290,9251,22541
2012-01-01,76,13673,10023,23696
2012-01-01,77,14553,11235,25788
2012-01-01,78,12742,10684,23426
2012-01-01,79,12369,10825,23194
2012-01-01,80,13338,12197,25535
2012-01-01,81,14609,14399,29008
2012-01-01,82,15219,16094,31313
2012-01-01,83,15383,17572,32955
2012-01-01,84,14538,18464,33002
2012-01-01,85,13211,19390,32601
2012-01-01,86,12498,20977,33475
2012-01-01,87,10984,21482,32466
2012-01-01,88,9388,21355,30743
2012-01-01,89,8796,21559,30355
2012-01-01,90,8275,21999,30274
2012-01-01,91,7298,20642,27940
2012-01-01,92,6019,18088,24107
2012-01-01,93,2766,9055,11821
2012-01-01,94,1870,6707,8577
2012-01-01,95,1562,5991,7553
2012-01-01,96,1353,5496,6849
2012-01-01,97,1332,6185,7517
2012-01-01,98,990,4888,5878
2012-01-01,99,641,3533,4174
2012-01-01,100,871,6098,6969
2013-01-01,0,1143,892,2035
2013-01-01,1,95,84,179
2013-01-01,2,56,35,91
2013-01-01,3,39,34,73
2013-01-01,4,30,25,55
2013-01-01,5,39,29,68
2013-01-01,65,5932,3396,9328
2013-01-01,66,6176,3620,9796
2013-01-01,67,5274,2985,8259
2013-01-01,68,6737,3976,10713
2013-01-01,69,8204,4895,13099
2013-01-01,70,8501,5149,13650
2013-01-01,71,10295,6206,16501
2013-01-01,72,11972,7255,19227
2013-01-01,73,13466,8683,22149
2013-01-01,74,13625,9013,22638
2013-01-01,75,13558,9409,22967
2013-01-01,76,14174,10314,24488
2013-01-01,77,14612,11268,25880
2013-01-01,78,15295,12475,27770
2013-01-01,79,13545,11887,25432
2013-01-01,80,12855,11916,24771
2013-01-01,81,13793,13407,27200
2013-01-01,82,15153,15848,31001
2013-01-01,83,15775,17594,33369
2013-01-01,84,15657,18944,34601
2013-01-01,85,14727,19580,34307
2013-01-01,86,13192,20645,33837
2013-01-01,87,12204,21917,34121
2013-01-01,88,10586,22124,32710
2013-01-01,89,8987,21403,30390
2013-01-01,90,8171,21065,29236
2013-01-01,91,7691,20954,28645
2013-01-01,92,6390,19199,25589
2013-01-01,93,4989,16268,21257
2013-01-01,94,2141,7884,10025
2013-01-01,95,1524,5614,7138
2013-01-01,96,1169,4916,6085
2013-01-01,97,981,4372,5353
2013-01-01,98,1010,4724,5734
2013-01-01,99,684,3564,4248
2013-01-01,100,1047,6313,7360
2014-01-01,0,1145,909,2054
2014-01-01,1,75,79,154
2014-01-01,2,35,35,70
2014-01-01,3,54,31,85
2014-01-01,4,36,32,68
2014-01-01,5,23,13,36
2014-01-01,65,6449,3630,10079
2014-01-01,66,6235,3582,9817
2014-01-01,67,6267,3625,9892
2014-01-01,68,5158,3144,8302
2014-01-01,69,6618,4101,10719
2014-01-01,70,8481,5043,13524
2014-01-01,71,8780,5363,14143
2014-01-01,72,10408,6565,16973
2014-01-01,73,12352,7711,20063
2014-01-01,74,13689,8951,22640
2014-01-01,75,13959,9629,23588
2014-01-01,76,14020,10090,24110
2014-01-01,77,14112,10889,25001
2014-01-01,78,14648,11760,26408
2014-01-01,79,15422,13131,28553
2014-01-01,80,13456,12387,25843
